City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,68.4,68,20,14.97,PT,2023-05-30 19:28:23
1,Iqaluit,63.7506,-68.5145,33.53,100,100,6.91,CA,2023-05-30 19:28:23
2,Tofol,5.3248,163.0078,82.76,74,61,6.46,FM,2023-05-30 19:28:23
3,Bethel,41.3712,-73.414,75.18,45,0,4.61,US,2023-05-30 19:28:24
4,Udachny,66.4167,112.4,32.45,74,64,14.67,RU,2023-05-30 19:28:24
5,Fisterra,42.9049,-9.2629,63.75,89,98,4.68,ES,2023-05-30 19:28:24
6,Kingscliff,-28.2667,153.5667,42.6,93,8,0.0,AU,2023-05-30 19:28:24
7,Richfield,44.8833,-93.283,87.42,51,75,18.41,US,2023-05-30 19:28:25
8,Invercargill,-46.4,168.35,47.89,83,100,11.36,NZ,2023-05-30 19:28:25
9,Stanley,54.868,-1.6985,53.78,80,20,6.91,GB,2023-05-30 19:28:25
10,Yamada,39.4667,141.95,50.7,88,100,3.89,JP,2023-05-30 19:28:25
11,Yellowknife,62.456,-114.3525,54.12,58,20,15.01,CA,2023-05-30 19:28:26
12,Albany,42.6001,-73.9662,81.03,35,9,4.0,US,2023-05-30 19:27:20
13,Qaqortoq,60.7167,-46.0333,39.81,85,100,1.48,GL,2023-05-30 19:28:26
14,Kibre Mengist,5.8833,38.9833,58.06,95,57,1.95,ET,2023-05-30 19:28:27
15,Puerto Natales,-51.7236,-72.4875,55.85,62,20,12.66,CL,2023-05-30 19:28:27
16,Weno,7.4515,151.8468,80.55,94,100,8.05,FM,2023-05-30 19:28:27
17,Ushuaia,-54.8,-68.3,51.46,71,40,3.44,AR,2023-05-30 19:28:27
18,Grytviken,-54.2811,-36.5092,24.3,81,12,8.84,GS,2023-05-30 19:28:28
19,Port-Aux-Francais,-49.35,70.2167,39.31,86,100,29.17,TF,2023-05-30 19:28:28
20,North Platte,41.1239,-100.7654,83.12,57,0,5.01,US,2023-05-30 19:28:28
21,Tiksi,71.6872,128.8694,27.19,86,10,3.56,RU,2023-05-30 19:28:28
22,Blackmans Bay,-43.0167,147.3167,58.73,75,100,8.68,AU,2023-05-30 19:28:28
23,Edinburgh Of The Seven Seas,-37.0676,-12.3116,56.43,85,100,39.55,SH,2023-05-30 19:28:29
24,Papatowai,-46.5619,169.4708,48.07,71,93,11.39,NZ,2023-05-30 19:28:29
25,Fada,9.5667,8.3,77.92,72,50,3.11,NG,2023-05-30 19:28:29
26,Argo,37.6333,22.7333,68.79,76,17,1.23,GR,2023-05-30 19:28:29
27,Mao,39.8885,4.2658,68.56,83,20,6.91,ES,2023-05-30 19:28:29
28,Naze,28.3667,129.4833,74.32,95,96,4.61,JP,2023-05-30 19:28:29
29,Port Mathurin,-19.6833,63.4167,76.35,70,12,13.53,MU,2023-05-30 19:28:30
30,Waitangi,-43.9535,-176.5597,55.81,97,100,3.0,NZ,2023-05-30 19:28:30
31,La Sarre,48.8002,-79.1996,83.25,31,9,6.17,CA,2023-05-30 19:28:22
32,Birao,10.2849,22.7882,86.49,47,81,4.03,CF,2023-05-30 19:28:31
33,Baiquan,47.5833,126.0833,55.8,37,9,8.25,CN,2023-05-30 19:28:31
34,Kambove,-10.8764,26.5969,63.84,60,99,4.52,CD,2023-05-30 19:28:31
35,Vilyuysk,63.7553,121.6247,47.86,82,100,10.89,RU,2023-05-30 19:28:31
36,Jamestown,42.097,-79.2353,80.24,36,20,6.91,US,2023-05-30 19:28:32
37,Chonchi,-42.6128,-73.8092,54.61,93,98,7.76,CL,2023-05-30 19:28:32
38,Ust-Nera,64.5667,143.2,53.53,65,100,3.02,RU,2023-05-30 19:28:32
39,Belel,7.05,14.4333,62.46,95,47,2.91,CM,2023-05-30 19:28:32
40,Puerto Ayora,-0.7393,-90.3518,85.96,92,100,7.0,EC,2023-05-30 19:28:33
41,Margaret River,-33.95,115.0667,60.53,89,63,3.44,AU,2023-05-30 19:28:33
42,La Passe,45.5549,-0.8967,79.03,66,99,14.99,FR,2023-05-30 19:28:33
43,Avarua,-21.2078,-159.775,73.45,56,40,6.91,CK,2023-05-30 19:26:45
44,Toba,34.4833,136.85,68.0,91,100,12.8,JP,2023-05-30 19:28:34
45,Inirida,3.8653,-67.9239,75.42,97,100,2.08,CO,2023-05-30 19:28:34
46,Isafjordur,66.0755,-23.124,45.59,72,55,11.1,IS,2023-05-30 19:28:34
47,Gannan,47.9147,123.5031,58.26,36,100,8.84,CN,2023-05-30 19:29:34
48,Utrik,11.2278,169.8474,80.98,81,100,19.17,MH,2023-05-30 19:29:34
49,Qui Nhon,13.7667,109.2333,79.3,84,96,3.51,VN,2023-05-30 19:29:35
50,Kenai,60.5544,-151.2583,53.02,72,100,21.85,US,2023-05-30 19:29:35
51,Nong Phai,15.9903,101.0618,81.54,82,53,4.54,TH,2023-05-30 19:29:35
52,Papao,-17.75,-149.55,78.48,84,79,7.96,PF,2023-05-30 19:29:35
53,Adamstown,-25.066,-130.1015,70.21,65,100,13.89,PN,2023-05-30 19:29:35
54,Lakatoro,-16.0999,167.4164,75.36,75,99,14.16,VU,2023-05-30 19:29:35
55,Port Saint John'S,-31.6229,29.5448,68.59,84,100,5.77,ZA,2023-05-30 19:29:36
56,Hermanus,-34.4187,19.2345,58.8,94,100,14.18,ZA,2023-05-30 19:29:36
57,Ust-Tsilma,65.441,52.1498,53.22,69,90,4.76,RU,2023-05-30 19:29:36
58,Embi,48.8264,58.1442,74.44,31,100,4.85,KZ,2023-05-30 19:29:36
59,Newman,37.3138,-121.0208,76.05,56,99,3.0,US,2023-05-30 19:29:37
60,Ciudad Lazaro Cardenas,17.9583,-102.2,88.03,57,0,13.73,MX,2023-05-30 19:29:37
61,Wailua Homesteads,22.0669,-159.378,77.79,80,20,12.66,US,2023-05-30 19:29:37
62,Ancud,-41.8697,-73.8203,53.15,89,100,20.85,CL,2023-05-30 19:29:37
63,Nemuro,43.3236,145.575,43.7,82,1,8.79,JP,2023-05-30 19:29:37
64,Rio De Janeiro,-22.9028,-43.2075,73.94,67,75,9.22,BR,2023-05-30 19:29:11
65,Coquimbo,-29.9533,-71.3436,60.53,77,75,9.22,CL,2023-05-30 19:29:38
66,Anadyr,64.75,177.4833,46.9,53,0,6.71,RU,2023-05-30 19:29:38
67,West Island,-12.1568,96.8225,82.38,78,40,16.11,CC,2023-05-30 19:29:38
68,Punta Arenas,-53.15,-70.9167,53.62,93,40,5.75,CL,2023-05-30 19:29:38
69,Pudasjarvi,65.3833,26.9167,45.88,60,89,7.54,FI,2023-05-30 19:29:39
70,Kuta,-8.7233,115.1723,80.55,83,40,10.36,ID,2023-05-30 19:29:39
71,Tazovsky,67.4667,78.7,54.86,54,97,15.68,RU,2023-05-30 19:29:39
72,Bamboo Flat,11.7,92.7167,78.89,89,40,2.3,IN,2023-05-30 19:29:40
73,Smithers,54.7804,-127.1743,50.32,46,75,2.3,CA,2023-05-30 19:28:51
74,Tsiombe,-25.3,45.4833,68.86,82,1,9.82,MG,2023-05-30 19:29:40
75,Shimoda,34.6667,138.95,66.11,92,100,3.36,JP,2023-05-30 19:29:40
76,Greenville,35.6127,-77.3663,78.96,77,75,14.97,US,2023-05-30 19:29:40
77,Thompson,55.7435,-97.8558,68.16,64,75,8.05,CA,2023-05-30 19:26:33
78,Ugoofaaru,5.6667,73.0,84.34,75,100,9.06,MV,2023-05-30 19:29:41
79,Codrington,-38.2667,141.9667,57.13,85,100,14.34,AU,2023-05-30 19:29:41
80,College,64.8569,-147.8028,44.58,94,100,6.91,US,2023-05-30 19:29:41
81,Port Elizabeth,-33.918,25.5701,61.11,89,0,8.05,ZA,2023-05-30 19:29:42
82,Constantia,44.1833,28.65,61.7,70,100,8.5,RO,2023-05-30 19:29:42
83,Chibougamau,49.9168,-74.3659,83.82,18,0,14.97,CA,2023-05-30 19:29:42
84,Haiku-Pauwela,20.9219,-156.3051,79.16,62,20,14.97,US,2023-05-30 19:29:42
85,Tabas,33.5959,56.9244,89.82,13,98,2.3,IR,2023-05-30 19:29:42
86,Harper,4.375,-7.7169,79.65,86,48,6.6,LR,2023-05-30 19:29:42
87,Saint-Pierre,-21.3393,55.4781,69.48,73,20,6.91,RE,2023-05-30 19:25:35
88,Placido De Castro,-10.3353,-67.1856,84.92,59,89,3.18,BR,2023-05-30 19:29:43
89,Longyearbyen,78.2186,15.6401,33.64,86,75,16.11,SJ,2023-05-30 19:29:43
90,Palmer,42.1584,-72.3287,77.83,34,20,8.05,US,2023-05-30 19:25:28
91,Huanggang,23.677,116.9996,78.69,80,4,1.59,CN,2023-05-30 19:29:43
92,Ola,59.5833,151.2833,52.14,61,100,13.89,RU,2023-05-30 19:29:43
93,Badger,64.8,-147.5333,44.51,93,100,6.91,US,2023-05-30 19:29:44
94,Colonia,50.9333,6.95,66.85,54,0,10.36,DE,2023-05-30 19:25:45
95,Leninskoye,41.7589,69.3864,66.07,35,0,2.84,KZ,2023-05-30 19:30:44
96,Carnarvon,-24.8667,113.6333,68.47,75,0,6.35,AU,2023-05-30 19:30:44
97,Mecatlan,20.2167,-97.6667,86.18,51,27,3.85,MX,2023-05-30 19:30:44
98,Bilibino,68.0546,166.4372,50.34,45,100,6.04,RU,2023-05-30 19:30:45
99,Al Bardiyah,31.7561,25.0865,69.48,79,95,12.62,LY,2023-05-30 19:30:45
100,Camarinas,43.1311,-9.1817,63.93,94,98,4.68,ES,2023-05-30 19:30:45
101,Olonkinbyen,70.9221,-8.7187,30.9,79,37,18.77,SJ,2023-05-30 19:30:45
102,Ilulissat,69.2167,-51.1,35.62,93,75,6.91,GL,2023-05-30 19:30:45
103,Fu'An,27.0892,119.6453,73.96,89,10,2.68,CN,2023-05-30 19:30:46
104,Tabuk,17.4189,121.4443,77.54,80,100,4.38,PH,2023-05-30 19:30:46
105,Sivas,39.7916,37.0019,50.63,81,40,8.05,TR,2023-05-30 19:30:46
106,Portland,45.5234,-122.6762,65.37,50,75,8.05,US,2023-05-30 19:28:48
107,Castillos,-34.1667,-53.8333,60.67,67,98,5.68,UY,2023-05-30 19:27:19
108,Pangobilian,8.8011,117.8594,80.78,85,100,8.84,PH,2023-05-30 19:30:47
